City_ID,City,Country,Max Temp,Lat,Lon,Hotel Name
0,Taltal,CL,69.75,-25.4,-70.4833,Residencial Karime
3,Hermanus,ZA,60.8,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Chuy,UY,69.58,-33.6971,-53.4616,Nuevo Hotel Plaza
7,Port Elizabeth,ZA,64.69,-33.918,25.5701,39 On Nile Guest House
8,Busselton,AU,63.68,-33.65,115.3333,Observatory Guest House
11,Mar Del Plata,AR,69.82,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,Bredasdorp,ZA,61.92,-34.5322,20.0403,Bredasdorp Country Manor
13,Semnan,IR,58.84,35.5729,53.3971,Semnan Tourist Hotel
14,Ribeira Grande,PT,57.6,38.5167,-28.7,Quinta da Meia Eira
17,Marawi,PH,68.95,7.9986,124.2928,Derogongan Residence
20,Laguna,US,66.18,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
23,Demba,CD,67.59,-5.51,22.2667,Guest House Du Cinquantenaire
24,Victoria,HK,72.32,22.2855,114.1577,Mini Hotel Central
27,Castro,BR,66.72,-24.7911,-50.0119,CHACARA BAILLY
28,Stilfontein,ZA,69.6,-26.8449,26.7683,Revival Guest House
31,Laela,TZ,59.27,-8.5667,32.05,
32,Lagoa,PT,55.33,39.05,-27.9833,Casa Das Faias
33,Port Alfred,ZA,68.11,-33.5906,26.891,The Halyards Hotel
34,Marrakesh,MA,66.27,31.6315,-8.0083,Les Jardins de La Koutoubia
39,Mahanje,TZ,65.3,-9.9333,35.3333,
41,Rocha,UY,69.28,-34.4833,-54.3333,Hotel Arrarte
45,Luderitz,,65.91,-26.6481,15.1594,LÜDERITZ NEST HOTEL
46,Urubamba,PE,59.9,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
47,Cape Town,ZA,63.01,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
48,Namibe,AO,73.49,-15.1961,12.1522,Hotel Chik Chik Namibe
50,Japura,ID,73.72,-0.3167,102.35,Rumah mbah Jamah
51,Saldanha,ZA,59.05,-33.0117,17.9442,Blue Bay Lodge
55,Aksu,CN,54.77,41.1231,80.2644,Pudong Holiday Hotel
62,Vila Franca Do Campo,PT,57.2,37.7167,-25.4333,Pestana Bahia Praia
65,Upington,ZA,68.38,-28.4478,21.2561,River Place Manor
69,Mecca,SA,71.85,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
71,Cidreira,BR,68.25,-30.1811,-50.2056,Hotel Castelo
72,Sao Filipe,CV,73.22,14.8961,-24.4956,Hotel Xaguate
81,Carnarvon,AU,73.47,-24.8667,113.6333,Hospitality Carnarvon
83,Punta Arenas,CL,50.11,-53.15,-70.9167,Hotel Hain
89,Hamilton,US,50.61,39.1834,-84.5333,Six Acres Bed & Breakfast
90,Harrai,IN,73.09,22.6167,79.2167,काव्या बुटिक
92,Gidole,ET,70.03,5.65,37.3667,Shallom mekaneyesus church
97,Amalapuram,IN,71.98,16.5833,82.0167,swayamprabha service apartments
98,Cairo,EG,51.04,30.0626,31.2497,Grand Hotel
99,Anuradhapura,LK,72.9,8.3565,80.4173,Nilketha Villa Eco Hotel
107,Geraldton,AU,63.01,-28.7667,114.6,Broadwater Mariner Resort
115,Ponta Do Sol,PT,63.01,32.6667,-17.1,Hotel do Campo
116,East London,ZA,69.31,-33.0153,27.9116,Tu Casa
117,Outjo,,67.1,-20.1167,16.15,Kai-Oms Backpackers Lodge
118,Shahr-E Babak,IR,59.56,30.1165,55.1186,Duna Ecolodge
122,Jalu,LY,58.39,29.0331,21.5482,صاحبة الفخامة
123,Ancud,CL,68.23,-41.8697,-73.8203,Hotel Arena Gruesa
125,Kisangani,CD,73.96,0.5167,25.2,Grand Ramela Hotel
128,Redcliffe,AU,67.89,-27.2307,153.0973,Scarborough Beach Resort
