City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Taltal,CL,-25.4,-70.4833,69.75,71,24,6.87,2022-03-13 19:45:13
1,Kristiinankaupunki,FI,62.2743,21.376,26.42,91,48,5.35,2022-03-13 19:45:14
2,Lethem,GY,3.3803,-59.7968,92.19,43,100,9.01,2022-03-13 19:45:14
3,Hermanus,ZA,-34.4187,19.2345,60.8,61,100,15.28,2022-03-13 19:43:30
4,Hambantota,LK,6.1241,81.1185,77.67,80,75,9.44,2022-03-13 19:45:15
5,Paamiut,GL,61.994,-49.6678,14.47,85,100,18.23,2022-03-13 19:45:15
6,Chuy,UY,-33.6971,-53.4616,69.58,55,4,9.08,2022-03-13 19:45:15
7,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,75,16.11,2022-03-13 19:45:16
8,Busselton,AU,-33.65,115.3333,63.68,88,11,7.99,2022-03-13 19:45:16
9,Qaanaaq,GL,77.484,-69.3632,-9.02,92,100,5.7,2022-03-13 19:45:16
10,Ushuaia,AR,-54.8,-68.3,44.26,70,40,37.98,2022-03-13 19:41:32
11,Mar Del Plata,AR,-38.0023,-57.5575,69.82,81,0,11.5,2022-03-13 19:34:53
12,Bredasdorp,ZA,-34.5322,20.0403,61.92,59,100,12.66,2022-03-13 19:45:17
13,Semnan,IR,35.5729,53.3971,58.84,33,0,2.3,2022-03-13 19:45:17
14,Ribeira Grande,PT,38.5167,-28.7,57.6,54,40,4.61,2022-03-13 19:45:18
15,Tutoia,BR,-2.7619,-42.2744,80.91,79,99,8.63,2022-03-13 19:45:18
16,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,17.27,2022-03-13 19:45:19
17,Marawi,PH,7.9986,124.2928,68.95,94,98,2.08,2022-03-13 19:45:19
18,Bruiu,RO,45.8747,24.7009,26.98,62,7,3.0,2022-03-13 19:45:19
19,Jamestown,US,42.097,-79.2353,25.02,65,100,13.8,2022-03-13 19:42:43
20,Laguna,US,38.421,-121.4238,66.18,48,75,10.36,2022-03-13 19:42:26
21,Manta,EC,-0.95,-80.7333,85.78,70,20,9.22,2022-03-13 19:45:20
22,Pedernales,DO,18.0384,-71.744,82.65,69,89,5.64,2022-03-13 19:45:20
23,Demba,CD,-5.51,22.2667,67.59,93,100,0.81,2022-03-13 19:45:21
24,Victoria,HK,22.2855,114.1577,72.32,90,37,5.01,2022-03-13 19:44:47
25,Clyde River,CA,70.4692,-68.5914,-18.17,69,0,3.44,2022-03-13 19:45:21
26,Kedrovyy,RU,56.1667,91.8167,-15.14,100,65,4.03,2022-03-13 19:45:22
27,Castro,BR,-24.7911,-50.0119,66.72,95,100,3.67,2022-03-13 19:45:22
28,Stilfontein,ZA,-26.8449,26.7683,69.6,54,38,5.99,2022-03-13 19:45:22
29,Touros,BR,-5.1989,-35.4608,82.06,71,86,9.22,2022-03-13 19:45:23
30,Hithadhoo,MV,-0.6,73.0833,83.03,71,95,5.53,2022-03-13 19:45:23
31,Laela,TZ,-8.5667,32.05,59.27,91,100,3.71,2022-03-13 19:45:24
32,Lagoa,PT,39.05,-27.9833,55.33,58,72,14.16,2022-03-13 19:45:24
33,Port Alfred,ZA,-33.5906,26.891,68.11,91,100,10.85,2022-03-13 19:44:10
34,Marrakesh,MA,31.6315,-8.0083,66.27,55,40,12.66,2022-03-13 19:45:25
35,Upernavik,GL,72.7868,-56.1549,-10.89,97,62,8.88,2022-03-13 19:45:25
36,Bubaque,GW,11.2833,-15.8333,75.83,77,100,15.03,2022-03-13 19:45:25
37,Narsaq,GL,60.9167,-46.05,32.22,51,100,30.42,2022-03-13 19:44:54
38,Georgetown,MY,5.4112,100.3354,80.53,93,20,6.91,2022-03-13 19:44:03
39,Mahanje,TZ,-9.9333,35.3333,65.3,96,100,2.19,2022-03-13 19:45:26
40,Kulhudhuffushi,MV,6.6221,73.07,82.2,71,93,3.22,2022-03-13 19:38:40
41,Rocha,UY,-34.4833,-54.3333,69.28,60,10,11.27,2022-03-13 19:45:27
42,Vila Velha,BR,-20.3297,-40.2925,85.95,74,40,14.97,2022-03-13 19:38:37
43,Kolokani,ML,13.5728,-8.0339,84.99,12,22,9.26,2022-03-13 19:45:27
44,Saint-Ambroise,CA,48.5501,-71.3324,15.58,57,100,14.97,2022-03-13 19:46:27
45,Luderitz,NA,-26.6481,15.1594,65.91,74,0,25.57,2022-03-13 19:46:28
