City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-03-13 16:39:19,73.5069,80.5464,-6.14,97,100,16.46
1,Sandy Bay,AU,2022-03-13 16:39:19,-42.913,147.3532,62.49,85,100,9.22
2,Busselton,AU,2022-03-13 16:39:20,-33.65,115.3333,66.18,86,19,6.64
3,Puerto Carreno,CO,2022-03-13 16:39:20,6.189,-67.4859,87.78,58,40,11.5
4,Bredasdorp,ZA,2022-03-13 16:39:21,-34.5322,20.0403,63.72,63,100,10.36
5,Bambous Virieux,MU,2022-03-13 16:39:21,-20.3428,57.7575,77.25,94,40,5.75
6,Arraial Do Cabo,BR,2022-03-13 16:39:22,-22.9661,-42.0278,89.56,62,0,18.41
7,Narsaq,GL,2022-03-13 16:39:22,60.9167,-46.05,12.42,70,100,7.83
8,Amapa,BR,2022-03-13 16:39:22,1.0,-52.0,81.82,82,72,3.4
9,Patos De Minas,BR,2022-03-13 16:37:24,-18.5789,-46.5181,78.42,66,99,5.12
10,East London,ZA,2022-03-13 16:39:23,-33.0153,27.9116,68.94,94,40,3.44
11,Husavik,IS,2022-03-13 16:39:23,66.0449,-17.3389,32.09,77,46,9.51
12,Clyde River,CA,2022-03-13 16:39:24,70.4692,-68.5914,-21.77,76,100,4.61
13,Cape Town,ZA,2022-03-13 16:36:32,-33.9258,18.4232,65.1,62,40,13.8
14,Punta Arenas,CL,2022-03-13 16:39:24,-53.15,-70.9167,50.11,50,40,40.29
15,Cockburn Town,TC,2022-03-13 16:39:25,21.4612,-71.1419,84.16,70,40,11.5
16,Hermanus,ZA,2022-03-13 16:39:25,-34.4187,19.2345,61.81,69,100,15.35
17,Vardo,NO,2022-03-13 16:39:25,70.3705,31.1107,35.58,87,75,10.36
18,Kavaratti,IN,2022-03-13 16:39:26,10.5669,72.642,83.61,72,10,10.25
19,Sao Filipe,CV,2022-03-13 16:39:26,14.8961,-24.4956,74.73,62,0,13.89
20,Itarema,BR,2022-03-13 16:39:26,-2.9248,-39.9167,83.5,68,100,7.31
21,Zhezkazgan,KZ,2022-03-13 16:39:27,47.8043,67.7144,24.22,93,100,8.14
22,Ropczyce,PL,2022-03-13 16:39:27,50.0523,21.6089,39.11,77,6,6.8
23,Ushuaia,AR,2022-03-13 16:39:27,-54.8,-68.3,44.26,76,75,25.32
24,Mahebourg,MU,2022-03-13 16:39:28,-20.4081,57.7,77.29,94,40,5.75
25,Tsabong,BW,2022-03-13 16:39:28,-26.0217,22.401,86.09,31,92,9.64
26,Gulariya,NP,2022-03-13 16:39:28,28.2333,81.3333,70.43,37,0,3.58
27,Radcliff,US,2022-03-13 16:39:29,37.8404,-85.9491,42.06,47,100,20.71
28,Meridian,US,2022-03-13 16:38:00,43.6121,-116.3915,47.53,47,40,14.97
29,Mar Del Plata,AR,2022-03-13 16:39:29,-38.0023,-57.5575,75.22,81,20,14.0
30,Paamiut,GL,2022-03-13 16:39:30,61.994,-49.6678,9.88,69,100,11.9
31,Luau,AO,2022-03-13 16:39:30,-10.7073,22.2247,65.35,91,88,3.96
32,Saint George,US,2022-03-13 16:39:30,37.1041,-113.5841,43.39,42,0,4.61
33,Taltal,CL,2022-03-13 16:39:31,-25.4,-70.4833,70.66,69,9,6.85
34,Ponta Do Sol,PT,2022-03-13 16:39:31,32.6667,-17.1,66.7,89,98,7.56
35,San Rafael,AR,2022-03-13 16:39:31,-34.6177,-68.3301,77.99,32,1,5.44
36,Sinnamary,GF,2022-03-13 16:39:32,5.3833,-52.95,79.25,87,98,10.33
37,Victoria,HK,2022-03-13 16:36:40,22.2855,114.1577,75.18,88,2,8.01
38,Gabu,GW,2022-03-13 16:39:32,12.2833,-14.2167,104.23,13,37,4.85
39,Ouango,CF,2022-03-13 16:39:33,4.3133,22.5552,80.19,56,97,2.8
40,Saint-Philippe,RE,2022-03-13 16:39:33,-21.3585,55.7679,78.39,90,86,15.26
41,Ayagoz,KZ,2022-03-13 16:39:34,47.9714,80.4392,33.67,91,79,15.66
42,San Juan,AR,2022-03-13 16:39:34,-31.5375,-68.5364,83.3,27,2,5.28
43,Fort-Shevchenko,KZ,2022-03-13 16:40:34,44.5086,50.263,32.04,68,98,8.21
44,Okahandja,NA,2022-03-13 16:40:35,-21.9833,16.9167,67.01,86,100,3.24
45,Hithadhoo,MV,2022-03-13 16:40:35,-0.6,73.0833,83.82,68,75,7.56
46,Nanortalik,GL,2022-03-13 16:40:35,60.1432,-45.2371,22.82,68,100,15.75
47,Olinda,BR,2022-03-13 16:40:36,-8.0089,-34.8553,85.73,70,40,8.05
48,Codrington,AU,2022-03-13 16:40:36,-38.2667,141.9667,60.42,95,84,6.82
49,Arlit,NE,2022-03-13 16:40:36,18.7369,7.3853,87.55,5,0,5.73
50,Georgetown,MY,2022-03-13 16:40:37,5.4112,100.3354,80.53,93,40,5.01
51,Moissala,TD,2022-03-13 16:40:37,8.3404,17.7663,93.51,16,22,2.89
52,Kudahuvadhoo,MV,2022-03-13 16:40:37,2.6708,72.8944,83.55,70,8,8.99
53,Jamestown,US,2022-03-13 16:38:11,42.097,-79.2353,25.52,41,75,12.66
54,Ribeira Grande,PT,2022-03-13 16:40:38,38.5167,-28.7,59.4,51,20,16.11
55,Thompson,CA,2022-03-13 16:40:38,55.7435,-97.8558,1.56,85,40,2.3
56,Toamasina,MG,2022-03-13 16:40:39,-18.1667,49.3833,80.6,78,40,6.91
57,Vila Do Maio,CV,2022-03-13 16:40:39,15.1333,-23.2167,79.59,75,0,19.17
58,Port Alfred,ZA,2022-03-13 16:40:39,-33.5906,26.891,69.51,92,99,7.47
59,Toumodi,CI,2022-03-13 16:40:40,6.5613,-5.0158,89.98,48,93,5.01
60,Lebu,CL,2022-03-13 16:40:40,-37.6167,-73.65,65.32,61,3,19.93
61,Talnakh,RU,2022-03-13 16:40:41,69.4865,88.3972,-15.07,92,99,6.82
62,Tazovskiy,RU,2022-03-13 16:40:41,67.4667,78.7,-13.79,100,45,7.34
63,Chuy,UY,2022-03-13 16:40:41,-33.6971,-53.4616,72.54,49,78,8.84
64,Upernavik,GL,2022-03-13 16:40:42,72.7868,-56.1549,-6.86,91,99,1.52
